wikidata,label
Q5676779,"Harvest Gold (Murphy, 1945)"
Q12127551,"Smithy (Hall, 1946)"
Q4659657,"A Son Is Born (Porter, 1946)"
Q7755740,"The Overlanders (Watt, 1946)"
Q5001367,"Bush Christmas (Smart, 1947)"
Q4738397,"Always Another Dawn (McCreadie, 1947)"
Q5411239,"Eureka Stockade (Watt, 1949)"
Q7624500,"Strong Is The Seed (Collins, 1949)"
Q6058168,"Into The Straight (McCreadie, 1949)"
Q7562326,"Sons Of Matthew (Chauvel, 1949)"
Q4919025,"Bitter Springs (Smart, 1950)"
Q7743960,"The Kangaroo Kid (Selander, 1950)"
Q7993502,"Wherever She Goes (Gordon, 1951)"
Q7736766,"The Glenrowan Affair (Kathner, 1951)"
Q6849376,"Mike And Stefani (Williams, 1952)"
Q3210106,"Kangaroo (Milestone, 1952)"
Q7033248,"Night Club (Harwood, 1952)"
Q5036825,"Captain Thunderbolt (Holmes, 1953)"
Q7756849,"The Phantom Stockman (Robinson, 1953)"
Q6412332,"King Of The Coral Sea (Robinson, 1954)"
Q7715248,"The Back Of Beyond (Heyer, 1954)"
Q6672759,"Long John Silver. (Haskin, 1954)"
Q3176350,"Jedda (Chauvel, 1955)"
Q7544693,"Smiley (Kimmins, 1956)"
Q7962022,"Walk Into Paradise (Robinson/Pagliero, 1956)"
Q7797967,"Three In One (Holmes, 1957)"
Q7763858,"The Shiralee (Norman, 1957)"
Q7340832,"Robbery Under Arms (Lee, 1957)"
Q3225286,"The Stowaway (Robinson/Habib, 1958)"
Q7544703,"Smiley Gets A Gun (Kimmins, 1958)"
Q5317009,"Dust In The Sun (Robinson, 1958)"
Q3201772,"The Restless And The Damned (Allegret, 1959)"
Q3012988,"Summer Of The Seventeenth Doll (Norman, 1959)"
Q1469774,"On The Beach (Kramer, 1959)"
Q3205730,"The Siege Of Pinchgut (Watt, 1959)"
Q7460671,"Shadow Of The Boomerang (Ross, 1960)"
Q1198545,"The Sundowners (Zinnemann, 1960)"
Q4997601,"Bungala Boys (Jeffrey, 1961)"
Q7783711,"They Found A Cave (Steane, 1962)"
Q5129821,"Clay (Mangiamele, 1965)"
Q1004363,"Funny Things Happen Down Under (McCormick, 1965)"
Q7783640,"They're A Weird Mob (Powell, 1966)"
Q7758708,"Pudding Thieves (Davies, 1967)"
Q12125270,"Journey Out Of Darkness (Trainor, 1967)"
Q87203764,"Time In Summer (Dutkiewicz, 1968)"
Q17036710,"Koya No Toseinin (Sato, 1968)"
Q16963252,"Moeru Tairiku (Nishimura, 1968)"
Q8057049,"You Can't See 'Round Corners (Cahill, 1969)"
Q4691874,"Age Of Consent (Powell, 1969)"
Q4597966,"Two Thousand Weeks (Burstall, 1969)"
Q16997392,"It Takes All Kinds (Davis, 1969)"
Q7742391,"The Intruders (Robinson, 1969)"
Q7763401,"The Set (Brittain, 1970)"
Q7582212,"Squeeze A Flower (Daniels, 1970)"
Q12125196,"Jack And Jill: A Postscript (Adams/Robinson, 1970)"
Q5148562,"Color Me Dead (Davis, 1970)"
Q7062802,"Nothing Like Experience (Carmody, 1970)"
Q3281502,"Adam's Woman (Leacock, 1970)"
Q4900017,"Beyond Reason (Mangiamele, 1970)"
Q5245148,"Dead Easy (Buesst, 1970)"
Q3112204,"Ned Kelly (Richardson, 1970)"
Q7621408,"Strange Holiday (Brown, 1970)"
Q6650565,"Little Jungle Boy (Brown, 1970)"
Q7753012,"The Naked Bunyip (Murray, 1970)"
Q7711221,"That Lady From Peking (Davis, 1970)"
Q12128666,"Sympathy In Summer (Ginnane, 1971)"
Q7798017,"Three To Go (Weir/Hannant/Howes, 1971)"
Q7028273,"Nickel Queen (McCallum, 1971)"
Q5256327,"Demonstrator (Freeman, 1971)"
Q3417503,"Homesdale (Weir, 1971)"
Q5177448,"Country Town (Maxwell, 1971)"
Q1342653,"Walkabout (Roeg, 1971)"
Q7961003,"Wake In Fright (Kotcheff, 1971)"
Q4753453,"And The Word Was Made Flesh (Marek, 1971)"
Q4942103,"Bonjour Balwyn (Buesst, 1971)"
Q7617927,"Stockade (Pomeranz, 1971)"
Q7620062,"Stork (Burstall, 1971)"
Q2894960,"Bello Onesto Emigrato Australia Sposerebbecompaesana Illibata (Zampa, 1971)"
Q4655932,"A City's Child (Kavanagh, 1972)"
Q7498866,"Shirley Thompson Versus The Aliens (Sharman, 1972)"
Q7246061,"Private Collection (Salvat, 1972)"
Q7712494,"The Adventures Of Barry Mckenzie (Beresford, 1972)"
Q7754723,"The Office Picnic (Cowan, 1972)"
Q7641656,"Sunstruck (Gilbert, 1972)"
Q6757681,"Marco Polo Jnr Versus The Red Dragon (Porter, 1972)"
Q5457663,"Flashpoint (Hannant, 1972)"
Q5533689,"Gentle Strangers (Holmes, 1972)"
Q7033649,"Night Of Fear (Bourke, 1973)"
Q6542266,"Libido (Murray/Burstall/Schepisi/Baker, 1973)"
Q117457083,"The Sabbat Of The Black Cat (Marsden, 1973)"
Q19870676,"An Essay On Pornography (Cary, 1973)"
