item,title,director,year
159,Should Children Suffer,Walter S. McColl,1918
160,What Happened To Jean,Herbert Walsh,1918
161,£500 Reward,Claude Flemming,1918
162,Australia's Own,J. E. Ward,1919
163,Desert Gold,Beaumont Smith,1919
164,Does The Jazz Lead To Destruction?,,1919
165,Barry Butts In,Beaumont Smith,1919
166,The Sentimental Bloke,Raymond Longford,1919
167,Struck Oil,Franklyn Barrett,1919
168,The Face At The Window,Charles Villiers,1919
169,The Man From Kangaroo,Wilfred Lucas,1920
170,Ginger Mick,Raymond Longford,1920
171,The Kelly Gang,Harry Southwell,1920
172,The Shadow Of Lightning Ridge,Wilfred Lucas,1920
173,The Breaking Of The Drought,Franklyn Barrett,1920
174,On Our Selection,Raymond Longford,1920
175,The Man From Snowy River,Beaumont Smith,1920
175,The Man From Snowy River,John K. Wells,1920
176,Robbery Under Arms,Kenneth Brampton,1920
177,The Jackeroo Of Coolabong,Wilfred Lucas,1920
178,The Hordern Mystery,Harry Southwell,1920
179,'Possum Paddock,Charles Villiers,1921
179,'Possum Paddock,Kate Howarde,1921
180,Silks And Saddles,John K. Wells,1921
181,The Betrayer,Beaumont Smith,1921
182,A Girl Of The Bush,Franklyn Barrett,1921
183,Rudd's New Selection,Raymond Longford,1921
184,The Guyra Ghost Mystery,John Cosgrove,1921
185,Mated In The Wilds,P. J. Ramster,1921
186,While The Billy Boils,Beaumont Smith,1921
187,Know Thy Child,Franklyn Barrett,1921
188,Retribution,Armand Lionello,1921
189,The Blue Mountains Mystery,Raymond Longford,1921
189,The Blue Mountains Mystery,Lottie Lyell,1921
190,"The Life Story Of John Lee, Or The Man They Could Not Hang",Arthur W. Sterry,1921
191,The Gentleman Bushranger,Beaumont Smith,1921
192,Circumstance,Lawson Harris,1922
193,The Triumph Of Love,P. J. Ramster,1922
194,A Rough Passage,Franklyn Barrett,1922
195,A Daughter Of Australia,Lawson Harris,1922
196,East Lynne,Charles Hardy,1922
197,Sunshine Sally,Lawson Harris,1922
198,The Lust For Gold,Roy Darling,1922
199,The Dinkum Bloke,Raymond Longford,1923
200,The Dingo,Kenneth Brampton,1923
201,The Twins,Leslie McCallum,1923
202,Townies And Hayseeds,Beaumont Smith,1923
203,When The Kellys Were Out,Harry Southwell,1923
204,Should A Doctor Tell?,P. J. Ramster,1923
205,Australia Calls,Raymond Longford,1923
206,Prehistoric Hayseeds,Beaumont Smith,1923
207,The Digger Earl,Beaumont Smith,1924
208,Dope,Dunstan Webb,1924
209,Joe,Beaumont Smith,1924
210,Daughter Of The East,Roy Darling,1924
210,The Boy Of The Dardanelles,Roy Darling,1924
211,Fisher's Ghost,Raymond Longford,1924
212,The Price,Dunstan Webb,1924
213,The Rev. Dell's Secret,P. J. Ramster,1924
214,How Mcdougall Topped The Score,V. Upton Brown,1924
215,Hullo Marmaduke,Beaumont Smith,1924
216,The Mystery Of A Hansom Cab,Arthur Shirley,1925
217,Painted Daughters,F. Stuart-Whyte,1925
218,The Adventures Of Algy,Beaumont Smith,1925
219,The Bushwhackers,Raymond Longford,1925
220,Those Terrible Twins,J. E. Ward,1925
221,Around The Boree Log,Phil K. Walsh,1925
222,Jewelled Nights,Louise Lovely,1925
222,Jewelled Nights,Wilton Welch,1925
223,The Moth Of Moonbi,Charles Chauvel,1926
224,The Tenth Straw,Robert G. Mcanderson,1926
225,Sydney's Darlings,Thomas Marinato,1926
226,Peter Vernon's Silence,Raymond Longford,1926
227,Should A Girl Propose?,P. J. Ramster,1926
228,The Jungle Woman,Frank Hurley,1926
229,The Pioneers,Raymond Longford,1926
230,The Sealed Room,Arthur Shirley,1926
231,Tall Timber,Dunstan Webb,1926
232,Sunrise,F. Stuart-Whyte,1926
232,Sunrise,Raymond Longford,1926
233,The Hound Of The Deep,Frank Hurley,1926
234,Greenhide,Charles Chauvel,1926
235,Those Who Love,P. J. Ramster,1926
235,Those Who Love,Paulette Mcdonagh,1926
236,Hills Of Hate,Raymond Longford,1926
237,Down Under,Harry Southwell,1927
