wikibase,wikidata
Q317,Q7279685
Q334,Q7736766
Q313,Q8025290
Q298,Q7180562
Q307,Q12102124
Q310,Q5151292
Q399,Q4655932
Q472,Q7296856
Q423,Q7618838
Q99,Q7227355
Q95,Q4823565
Q80,Q7769215
Q234,Q14156944
Q231,Q15039604
Q26,Q7733529
Q185,Q7376827
Q90,Q7751333
Q41,Q7761427
Q213,Q5454722
Q281,Q7749894
Q122,Q4658119
Q60,Q7655431
Q151,Q15039609
Q111,Q7764194
Q207,Q4823566
Q172,Q3764507
Q238,Q5763506
Q168,Q3989208
Q221,Q7720732
Q109,Q4540499
Q201,Q7730217
Q176,Q7091100
Q228,Q7177495
Q135,Q10381639
Q144,Q7722865
Q487,Q16833576
Q98,Q7719094
Q146,Q4656099
Q386,Q12128666
Q406,Q5457663
Q344,Q7544693
Q350,Q7544703
Q170,Q7733022
Q331,Q4919025
Q325,Q5001367
Q417,Q4738201
Q468,Q5362135
Q397,Q7620062
Q425,Q7178200
Q452,Q5375802
